Index,Value
0,2032
1,1943
2,1907
3,1910
4,1878
5,1844
6,1844
7,1866
8,1869
9,1881
10,1926
11,1836
12,1853
13,1904
14,1886
15,1835
16,1804
17,1837
18,1862
19,1889
20,1887
21,1899
22,1890
23,1866
24,1850
25,1829
26,1827
27,1809
28,1846
29,1886
30,1788
31,1779
32,1814
33,1751
34,1955
35,2243
36,1933
37,1779
38,1601
39,1862
40,1825
41,1822
42,1829
43,1862
44,1869
45,1902
46,1872
47,1863
48,1877
49,1911
50,1914
51,1930
52,1955
53,1993
54,2064
55,2047
56,2001
57,2016
58,1937
59,1918
60,1861
61,1844
62,1856
63,1851
64,1811
65,1835
66,1863
67,1828
68,1808
69,1851
70,1830
71,1829
72,1908
73,1828
74,1805
75,1872
76,1838
77,1870
78,1877
79,1841
80,1809
81,1872
82,1893
83,1852
84,1882
85,1792
86,1823
87,1818
88,1819
89,1856
90,1830
91,1774
92,1828
93,2207
94,2177
95,1927
96,1616
97,1766
98,1889
99,1840
100,1887
101,1874
102,1908
103,1885
104,1893
105,1893
106,1925
107,1915
108,1932
109,2000
110,1968
111,2028
112,2064
113,2045
114,2111
115,2047
116,2017
117,1979
118,1938
119,1899
120,1905
121,1863
122,1915
123,1855
124,1835
125,1872
126,1901
127,1871
128,1896
129,1921
130,1902
131,1905
132,1889
133,1910
134,1920
135,1923
136,1953
137,1908
138,1899
139,1907
140,1952
141,1931
142,1882
143,1920
144,1904
145,1857
146,1886
147,1907
148,1891
149,1887
150,1851
151,2134
152,2371
153,2053
154,1799
155,1728
156,1975
157,1927
158,1894
159,1957
160,1937
161,1962
162,1977
163,1974
164,1964
165,1985
166,1985
167,2019
168,2038
169,2082
170,2089
171,2128
172,2138
173,2113
174,2086
175,2076
176,1970
177,1949
178,1923
179,1913
180,1914
181,1931
182,1930
183,1942
184,1862
185,1916
186,1924
187,1941
188,1955
189,1939
190,1947
191,1939
192,1910
193,1926
194,1949
195,1968
196,1919
197,1917
198,1975
199,1983
200,1909
201,1941
202,1907
203,1904
204,1909
205,1936
206,1936
207,1894
208,1835
209,1881
210,2276
211,2301
212,2017
213,1697
214,1839
215,1966
216,1883
217,1949
218,1938
219,1907
220,1937
221,1955
222,1936
223,1974
224,1961
225,1975
226,1980
227,2000
228,2055
229,2087
230,2105
231,2121
232,2103
233,2037
234,1997
235,1950
236,1927
237,1925
238,1871
239,1891
240,1893
241,1891
242,1900
243,1867
244,1879
245,1875
246,1874
247,1882
248,1910
249,1904
250,1893
251,1883
252,1872
253,1889
254,1877
255,1861
256,1872
257,1904
258,1911
259,1878
260,1858
261,1850
262,1856
263,1863
264,1856
265,1841
266,1877
267,1796
268,1858
269,2202
270,2103
271,1984
272,1631
273,1714
274,1890
275,1834
276,1856
277,1882
278,1887
279,1871
280,1904
281,1936
282,1893
283,1906
284,1921
285,1949
286,1989
287,2021
288,2019
289,2090
290,2074
291,2047
292,2022
293,1986
294,1959
295,1899
296,1874
297,1860
298,1869
299,1855
300,1900
301,1872
302,1847
303,1863
304,1875
305,1872
306,1909
307,1883
308,1860
309,1867
310,1889
311,1899
312,1882
313,1904
314,1905
315,1881
316,1894
317,1914
318,1861
319,1862
320,1853
321,1872
322,1879
323,1845
324,1887
325,1889
326,1824
327,1968
328,2256
329,1994
330,1989
331,1606
332,1851
333,1937
334,1910
335,1870
336,1933
337,1951
338,1935
339,1936
340,1963
341,1968
342,1974
343,2011
344,2022
345,2030
346,2065
347,2091
348,2123
349,2123
350,2100
351,2066
352,2039
353,1931
354,1949
355,1922
356,1896
357,1888
358,1910
359,1905
360,1919
361,1887
362,1909
363,1905
364,1907
365,1910
366,1919
367,1939
368,1947
369,1889
370,1920
371,1941
372,1931
373,1930
374,1906
375,1942
376,1984
377,1911
378,1904
379,1901
380,1875
381,1904
382,1913
383,1921
384,1885
385,1872
386,1895
387,2225
388,2239
389,2010
390,1729
391,1786
392,1967
393,1877
394,1921
395,1938
396,1923
397,1936
398,1951
399,1968
400,1958
401,1957
402,1987
403,1990
404,2042
405,2029
406,2110
407,2106
408,2083
409,2118
410,2075
411,2002
412,1974
413,1947
414,1925
415,1905
416,1879
417,1873
418,1903
419,1897
420,1887
421,1917
422,1919
423,1899
424,1903
425,1907
426,1907
427,1908
428,1925
429,1909
430,1931
431,1987
432,1920
433,1903
434,1937
435,1911
436,1905
437,1942
438,1962
439,1903
440,1920
441,1885
442,1883
443,1899
444,1919
445,1901
446,1899
447,1856
448,1920
449,2288
450,2236
451,1984
452,1692
453,1811
454,1961
455,1889
456,1926
457,1935
458,1967
459,1952
460,1906
461,1951
462,1998
463,1959
464,1993
465,2016
466,2025
467,2064
468,2112
469,2094
470,2112
471,2115
472,2071
473,2000
474,1987
475,1927
476,1941
477,1896
478,1887
479,1905
480,1891
481,1901
482,1914
483,1907
484,1929
485,1925
486,1909
487,1923
488,1910
489,1913
490,1924
491,1933
492,1917
493,1936
494,1920
495,1919
496,1930
497,1920
498,1904
499,1919
500,1971
501,1931
502,1947
503,1914
504,1889
505,1895
506,1929
507,1904
508,1922
509,1917
510,1840
511,2070
512,2377
513,2096
514,1857
515,1666
516,1941
517,1933
518,1943
519,1909
520,1947
521,1926
522,1939
523,1952
524,1954
525,1971
526,1994
527,1999
528,2001
529,2059
530,2083
531,2079
532,2096
533,2116
534,2071
535,2064
536,1996
537,1927
538,1890
539,1882
540,1877
541,1891
542,1897
543,1918
544,1909
545,1872
546,1878
547,1931
548,1897
549,1909
550,1909
551,1937
552,1891
553,1875
554,1915
555,1910
556,1905
557,1906
558,1955
559,1942
560,1909
561,1838
562,1918
563,1949
564,1883
565,1909
566,1883
567,1887
568,1879
569,1875
570,1890
571,1885
572,1815
573,1877
574,2301
575,2133
576,1922
577,1605
578,1808
579,1920
580,1874
581,1890
582,1886
583,1915
584,1890
585,1888
586,1906
587,1930
588,1936
589,1926
590,1967
591,2027
592,2032
593,2001
594,2027
595,2067
596,2063
597,2022
598,1982
599,1918
600,1872
601,1862
602,1823
603,1808
604,1858
605,1841
606,1834
607,1847
608,1845
609,1871
610,1841
611,1876
612,1845
613,1850
614,1856
615,1847
616,1872
617,1866
618,1860
619,1904
620,1875
621,1855
622,1858
623,1887
624,1900
625,1847
626,1839
627,1858
628,1864
629,1855
630,1874
631,1848
632,1872
633,1795
634,1923
635,2258
636,1947
637,1907
638,1579
639,1867
640,1905
641,1853
642,1893
643,1885
644,1870
645,1906
646,1911
647,1911
648,1904
649,1937
650,1943
651,1984
652,2006
653,2047
654,2064
655,2083
656,2096
657,2057
658,2010
659,1971
660,1926
661,1898
662,1877
663,1869
664,1866
665,1856
666,1866
667,1883
668,1866
669,1915
670,1872
671,1891
672,1910
673,1856
674,1875
675,1904
676,1914
677,1872
678,1863
679,1904
680,1898
681,1922
682,1878
683,1896
684,1907
685,1920
686,1936
687,1871
688,1874
689,1889
690,1897
691,1874
692,1878
693,1907
694,1888
695,1837
696,1877
697,2246
698,2141
699,1983
700,1649
701,1782
702,1911
703,1897
704,1895
705,1908
706,1930
707,1901
708,1933
709,1949
710,1946
711,1951
712,1977
713,1994
714,1998
715,2035
716,2063
717,2096
718,2107
719,2103
720,2095
721,1998
722,1955
723,1920
724,1914
725,1894
726,1904
727,1907
728,1900
729,1889
730,1908
731,1910
732,1922
733,1945
734,1904
735,1936
736,1933
737,1908
738,1934
739,1925
740,1947
741,1925
742,1909
743,1973
744,1927
745,1920
746,1906
747,1951
748,1949
749,1933
750,1920
751,1890
752,1903
753,1924
754,1902
755,1893
756,1909
757,1866
758,1957
759,2358
760,2147
761,1974
762,1647
763,1906
764,1953
765,1926
766,1930
767,1935
768,1953
769,1959
770,1968
771,1985
772,1988
773,1986
774,2000
775,2032
776,2057
777,2102
778,2085
779,2128
780,2128
781,2111
782,2087
783,2032
784,1966
785,1954
786,1920
787,1919
788,1904
789,1917
790,1929
791,1902
792,1919
793,1951
794,1902
795,1911
796,1958
797,1929
798,1929
799,1941
800,1942
801,1926
802,1901
803,1934
804,1939
805,1963
806,1919
807,1905
808,1932
809,1984
810,1908
811,1908
812,1915
813,1889
814,1918
815,1921
816,1899
817,1927
818,1888
819,1861
820,2111
821,2387
822,2035
823,1789
824,1715
825,1951
826,1930
827,1909
828,1930
829,1936
830,1921
831,1946
832,1935
833,1959
834,1981
835,1978
836,2001
837,1991
838,2047
839,2061
840,2093
841,2128
842,2096
843,2084
844,2061
845,1970
846,1932
847,1936
848,1883
849,1877
850,1905
851,1884
852,1894
853,1907
854,1891
855,1891
856,1904
857,1893
858,1902
859,1895
860,1904
861,1902
862,1903
863,1879
864,1888
